Team,Name,Jersey Number,Sets Played,Matches Played,Matches Started,Points,Points/Set,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Services Aces/Set,Service Errors,Digs,Digs/Set,Reception Error,Total Reception Attempts,Reception Percentage,Reception Errors/Set,Solo Blocks,Block Assist,Block Points,Blocks/Set,Block Errors,BHE
RUTGERS,Tuohy Justin,2,68,18,18,145.0,2.13,116,1.71,56,279,.215,174,2.56,18,0.26,40,101,1.49,13,253,.949,0.19,3,16,19.0,0.28,3,0
RUTGERS,Chernyshov Pavlo,4,7,4,0,4.0,0.57,1,0.14,6,9,-.556,0,0.00,3,0.43,4,3,0.43,2,13,.846,0.29,0,0,0,0.00,0,1
RUTGERS,Singh Jasjeet,5,22,10,0,16.5,0.75,7,0.32,8,22,-.045,1,0.05,7,0.32,8,12,0.55,4,46,.913,0.18,1,3,4.0,0.18,1,0
RUTGERS,Spring Sean,6,13,7,1,12.0,0.92,10,0.77,5,20,.250,3,0.23,2,0.15,8,12,0.92,6,58,.897,0.46,0,0,0,0.00,1,0
RUTGERS,Hollenbach Eric,7,46,12,12,68.0,1.48,44,0.96,25,128,.148,1,0.02,7,0.15,28,10,0.22,0,1,1.000,0.00,4,26,30.0,0.65,4,0
RUTGERS,Nikishin Matt,8,86,23,0,0,0.00,0,0.00,0,3,.000,41,0.48,0,0.00,0,232,2.70,9,438,.979,0.10,0,0,0,0.00,0,1
RUTGERS,Ledesma Josh,9,75,22,17,84.5,1.13,68,0.91,63,215,.023,12,0.16,5,0.07,33,85,1.13,30,341,.912,0.40,4,15,19.0,0.25,0,2
RUTGERS,Gomes Yann,10,18,8,2,1.0,0.06,0,0.00,0,0,0,1,0.06,1,0.06,6,14,0.78,5,21,.762,0.28,0,0,0,0.00,0,0
RUTGERS,Apito Aidan,11,42,15,11,59.5,1.42,49,1.17,39,140,.071,3,0.07,5,0.12,19,50,1.19,14,225,.938,0.33,0,11,11.0,0.26,0,0
RUTGERS,Zaleck Andrew,12,79,21,20,417.5,5.28,360,4.56,143,752,.289,10,0.13,31,0.39,73,108,1.37,0,1,1.000,0.00,6,41,47.0,0.59,3,2
RUTGERS,Boulin Alex,13,11,6,2,9.0,0.82,6,0.55,6,19,.000,1,0.09,1,0.09,2,2,0.18,0,1,1.000,0.00,1,2,3.0,0.27,0,0
RUTGERS,Au Derek,14,76,22,17,61.0,0.80,40,0.53,12,114,.246,670,8.82,8,0.11,21,87,1.14,1,3,.667,0.01,1,24,25.0,0.33,6,8
RUTGERS,Chromulak Martin,17,66,19,15,175.5,2.66,124,1.88,62,274,.226,7,0.11,27,0.41,70,25,0.38,6,97,.938,0.09,4,41,45.0,0.68,12,1
RUTGERS,Quay Daniel,21,87,23,23,248.5,2.86,177,2.03,40,362,.378,2,0.02,19,0.22,62,45,0.52,0,6,1.000,0.00,21,63,84.0,0.97,20,0
